นิติบุคคลจัดตั้งเดือนธันวาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
15,0903558003006,หจ.ธนภัทรค้าข้าว,11/12/2558," 1,000,000 ",ประกอบกิจการค้า ข้าวและพืชผลทางการเกษตร,63/28 หมู่ที่ 7  ต.คลองแห อ.หาดใหญ่ จ.สงขลา 90110
16,0905558005175,บจ.วาระภัทร์รับเบอร์โกลฟซัพพลาย จำกัด,8/12/2558," 1,000,000 ",ประกอบกิจการจำหน่ายขายส่งถุงมือทุกประเภท,1500 หมู่ที่ 3 ถนนสนามบิน-ลพบุรีราเมศวร์  ต.ควนลัง อ.หาดใหญ่ จ.สงขลา 90110
17,0905558005108,บจ.มีวัน อินเตอร์เนชั่นแนล จำกัด,2/12/2558," 1,000,000 ",ประกอบกิจการขายโทรศัพท์ ซิม อุปกรณ์เกี่ยวกับโทรศัพท์มือถือและอื่น ๆ ที่เกี่ยวข้อง,1094/2 ถนนเพชรเกษม  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
18,0905558005159,บจ.มาสเตอร์พีซ โฮเต็ล กรุ๊ป จำกัด,8/12/2558," 1,000,000 ",โรงแรมและภัตาคาร,151 ถนนแสงศรี  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
19,0903558002981,หจ.ซิลมี่ย์  ออกาไนซ์,4/12/2558," 1,000,000 ",ประกอบกิจการบริหารและจัดหางานแสดงสินค้าทุกประเภททั้งในประเทศและนอกประเทศ,25/3 หมู่ที่ 6  ต.ทุ่งตำเสา อ.หาดใหญ่ จ.สงขลา 90110
20,0905558005191,บจ.หาดใหญ่ เฮลท์ตี้ ไลฟ์ จำกัด,9/12/2558," 1,000,000 ",ให้บริการด้านบริบาลผู้สูงวัย,28 ซอย15 ถนนเพชรเกษม  ต.คอหงส์ อ.หาดใหญ่ จ.สงขลา 90110
21,0903558003057,หจ.เอ็น แอนด์ ดี รับเบอร์ (2015),25/12/2558," 1,000,000 ",ประกอบกิจการรับซื้อ-ขายยางพารา,39/2 ถนนกาญจนวณิชย์  ต.สะเดา อ.สะเดา จ.สงขลา 90120
22,0903558003031,หจ.ล่ำก่อสร้าง 2015,21/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,65/1 หมู่ที่ 4  ต.ทับช้าง อ.นาทวี จ.สงขลา 90160
23,0905558005205,บจ.ทินกร นำเข้า ส่งออก จำกัด,16/12/2558," 1,000,000 ",ค้าวัสดุรีไซเคิล,111/1 หมู่ที่ 6 ถนนนาทวี-ประกอบ  ต.นาทวี อ.นาทวี จ.สงขลา 90160
24,0905558005248,บจ.ไทย เฟรช เวจเจทเทเบิล อินเตอร์เทรด จำกัด,21/12/2558," 1,000,000 ",ประกอบกิจการนำเข้าส่งออก สินค้าเกษตร ได้แก่ ผัก ผลไม้,29/3 หมู่ที่ 11  ต.บางเหรียง อ.ควนเนียง จ.สงขลา 90220
25,0903558003014,หจ.อาร์ช ดีคอน,16/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ,20/8 หมู่บ้านบ้านบางกม หมู่ที่ 6  ต.ทุ่งหมอ อ.สะเดา จ.สงขลา 90240
26,0905558005230,บจ.บำรุงรัตน์  วิศวกรรม 2015 จำกัด,17/12/2558," 1,000,000 ",ประกอบกิจการซ่อม ล้าง ติดตั้งเครื่องปรับอากาศ เครื่องระบายอากาศ ตู้เย็น ตู้แช่ ทุกชนิด,572/13 ถนนกาญจนวนิช  ต.บ้านพรุ อ.หาดใหญ่ จ.สงขลา 90250
27,0903558002964,หจ.เพชรมงคล 2015,2/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,16/1 หมู่ที่ 5  ต.ชิงโค อ.สิงหนคร จ.สงขลา 90280
28,0903558003022,หจ.ฮาลาล อินเตอร์เทรด,18/12/2558," 900,000 ",รับจัดทำป้ายโฆษณา และจัดหาพื้นที่เพื่อให้บริการด้านสื่อโฆษณาและงานประชาสัมพันธ์,27 ซอยบุญราช  ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110
29,0903558002956,หจ.คอนกรีตพิมพ์ลายหาดใหญ่,1/12/2558," 750,000 ",ประกอบกิจการก่อสร้าง,40/1 หมู่ที่ 7  ต.คลองรี อ.สทิงพระ จ.สงขลา 90190
30,0903558002999,หจ.สมบัติเจริญดีการก่อสร้าง,8/12/2558," 500,000 ",รับเหมาก่อสร้าง,10/4 หมู่ที่ 6  ต.เขาแดง อ.สะบ้าย้อย จ.สงขลา 90210
31,0905558005264,บจ.เซาเทิร์น แมกกาซีน จำกัด,25/12/2558," 300,000 ",ประกอบกิจการขายสินค้าหรือบริการโดยวิธีการใช้สื่ออิเล็กทรอนิกส์ผ่านระบบเครือข่ายอินเตอร์เน็ต,70/16 หมู่ที่ 1  ต.คลองแห อ.หาดใหญ่ จ.สงขลา 90110
1,0913558000384,หจ.สตูลยูไนเต็ด,15/12/2558," 5,000,000 ",ประกอบธุรกิจกีฬาอาชีพ ส่งเสริมกีฬาอาชีพเข้าร่วมการแข่งขันกีฬาอาชีพหรือเข้าร่วมกิจกรรมที่เกี่ยวเนื่อง,30/21 ถนนศุลกานุกูล  ต.พิมาน อ.เมืองสตูล จ.สตูล 91000
2,0915558000335,บจ.บี-ฟรีค จำกัด,15/12/2558," 2,000,000 ",ประกอบกิจการค้าเครื่องอุปโภคบริโภค อาหารสำเร็จรูป เครื่องกระป๋อง เครื่องดื่มสำเร็จรูป,13 หมู่ที่ 7  ต.เกาะสาหร่าย อ.เมืองสตูล จ.สตูล 91000
3,0915558000360,บจ.เดอะ แลนเทิร์น อินน์ จำกัด,22/12/2558," 2,000,000 ",ประกอบกิจการให้บริการที่พักแบบให้เช่าเป็นรายวันหรือรายสัปดาห์สำหรับผู้มาพักระยะสั้น,105 หมู่ที่ 7  ต.เกาะสาหร่าย อ.เมืองสตูล จ.สตูล 91000
4,0913558000392,หจ.ณัฐวุฒิการก่อสร้าง,23/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง และจำหน่ายวัสดุก่อสร้าง,73 หมู่ที่ 2  ต.คลองขุด อ.เมืองสตูล จ.สตูล 91000
5,0915558000343,บจ.ดีบีบี มาร์เก็ตติ้ง เอ็นไวรอนเม็นท์ จำกัด,21/12/2558," 1,000,000 ",ประกอบธุรกิจกการทำวิจัย อบรม บริการวิชาการ การตลาด การวิเคราะห์ ทำสถิติ จัดเวทีอบรม วิธีการวิชาการ,30/111 ถนนศุลกานุกูล  ต.พิมาน อ.เมืองสตูล จ.สตูล 91000
6,0915558000378,บจ.ก.ณรงค์ชัย จำกัด,23/12/2558," 1,000,000 ",ประกอบกิจการประมงทะเล,322 หมู่ที่ 2  ต.ปากน้ำ อ.ละงู จ.สตูล 91110
7,0915558000351,บจ.สตูล แบล็ค วู้ด จำกัด,21/12/2558," 1,000,000 ",ประกอบธุรกิจ ซื้อไม้ และเศษไม้ ผลิตและจำหน่ายถ่านไม้,329 หมู่ที่ 4  ต.ควนกาหลง อ.ควนกาหลง จ.สตูล 91130
